/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,1,3,3,34.863258838653564,37.468349,3.0939474356675207
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,2,3,3,33.433327436447144,37.110731,3.5057128589711217
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,3,3,3,32.90456438064575,35.746953,3.9695069942881034
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,0,4,4,36.8270058631897,30.680095,2.9079876202796484
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,1,4,4,34.902069091796875,30.667099,3.2931985803143617
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,2,4,4,33.85855746269226,30.589931,3.7637404266325434
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,3,4,4,33.47852087020874,30.246872,4.303575865201143
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,10,4,4,4,32.597357749938965,29.010488,4.7099157545654124
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,0,0,0,41.61223077774048,inf,1.7824065003231895
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,0,1,1,38.86779761314392,52.903024,2.069367711714623
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,1,1,1,36.699939489364624,51.142002,2.2571033911349505
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,0,2,2,36.69116187095642,44.452265,2.423083906794095
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,1,2,2,36.49048948287964,44.152596,2.6845381738391554
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,2,2,2,33.98409581184387,42.691189,2.9895064747412343
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,0,3,3,35.25390839576721,37.582980,2.741210790143389
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,1,3,3,34.224936962127686,37.519650,3.0806329110742143
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,2,3,3,32.84235239028931,37.157922,3.4890806654090256
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,3,3,3,32.90831470489502,35.782373,3.944462275900879
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,0,4,4,36.644875288009644,30.934376,2.9050291407573128
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,1,4,4,35.36343431472778,30.920596,3.289073878584828
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,2,4,4,33.91611957550049,30.838827,3.7588787272012163
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,3,4,4,33.71439504623413,30.476648,4.292797776852366
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,8,32,60,4,4,4,33.671082496643066,29.213167,4.696422733429974
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,0,0,0,32.817647218704224,inf,1.8620029543284222
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,0,1,1,29.459892988204956,52.902843,2.1756179635344064
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,1,1,1,29.409913539886475,51.141895,2.384670488598726
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,0,2,2,28.076929807662964,44.450376,2.5735576410262553
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,1,2,2,26.92839026451111,44.150836,2.8713124777029284
/home/tiago/UA/3 Ano/1 Semestre/CSLP/Projeto/resources/videos/in_to_tree_444_720p50.y4m,16,16,10,2,2,2,26.225260496139526,42.689939,3.2203372647327964
